JD,RA,DEC,Magnitude0,Magnitude_error0,Magnitude1,Magnitude_error1,Magnitude2,Magnitude_error2,Magnitude3,Magnitude_error3,Magnitude4,Magnitude_error4
2459612.250647118,120.11282629120547,-10.803401255260201,-9.256473794348041,0.0033485501744375066,-9.916610060870477,0.003390549312455838,-10.01852867938952,0.004404741815079165,-10.077156890206442,0.0053558352361894705,-10.11662955389385,0.006237269295298983
2459612.250647118,120.0382081200118,-10.803862890836854,-9.928356989121802,0.0018410112998928892,-10.602797312660655,0.0017680641493437088,-10.777762950311834,0.0021352660242506534,-10.941713481143761,0.0023911515408710287,-11.020479984163945,0.0027370817255915076
2459612.250647118,120.1265816105207,-10.798170293579675,-12.322346495680543,0.00045586510830312413,-12.971276616063712,0.00039862494397831103,-13.062757097014572,0.0004756173407728935,-13.084521869245,0.0005774155490838941,-13.093608994456323,0.0006849643618583284
2459612.250647118,120.02326282647174,-10.79355037332528,-9.261109648148945,0.0032644618359233173,-9.91766473794738,0.0033164818724172184,-10.016431393838982,0.0043731249988434575,-10.08749681501419,0.005355312525995453,-10.243264688558892,0.005731265644345301
2459612.250647118,119.9792300127999,-10.79277446233543,-8.31151489876957,0.006432889564845094,-8.937096010768816,0.006958365723273183,-9.026792345826884,0.009451797582190077,-9.048336779193065,0.012268512206093984,-9.05543290764159,0.015169428430600337
2459612.250647118,120.02445215612381,-10.787104539671793,-10.937356467417365,0.0009732869885120702,-11.560355248947136,0.0009212048272546643,-11.645630159204224,0.0011620350566150283,-11.666597641872016,0.0014553661709494452,-11.67628056066533,0.0017616036082487492
2459612.250647118,119.95045142750602,-10.787538758659972,-9.416112200879267,0.0027243366618213637,-10.028907756933986,0.0028327796866539703,-10.118277048528917,0.003728247056002394,-10.151166743228718,0.004685875255603893,-10.174824385988604,0.005604615731898047
2459612.250647118,120.00338092939981,-10.786688574847455,-8.538133886013707,0.005564971790700601,-9.172279637348064,0.005912016959566428,-9.258370255849115,0.007978478045758314,-9.278570983345194,0.010278954067798407,-9.29838153596919,0.012471089074856062
2459612.250647118,120.07473180096531,-10.784583855735939,-9.392076025244936,0.0025715411744256338,-10.029919128621938,0.0025993664170064854,-10.122391623030646,0.003421276818827221,-10.146456845720174,0.0043753886023396235,-10.15493719075559,0.005369091720707393
2459612.250647118,119.97882612433443,-10.784220424998187,-11.692862255556351,0.0006287759063057465,-12.314361771177204,0.0005699845014684119,-12.402309516772602,0.000692237454224253,-12.424873071702569,0.0008470726608837194,-12.434874826237694,0.0010115941113659004
